"Sample Count","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Life Fit Hybrid Min","Life Fit Hybrid Max","Life Fit Hybrid Avg","Life Fit Hybrid Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence",
"305","4","9","7.980001","8","0","9","6.099999","7","0","6","4.290000","4","0","8","4.100000","0","1657",
"306","4","9","8.010001","8","0","11","6.670002","9","0","6","3.889999","6","0","10","4.470000","6","1658",
"307","5","9","8.209998","8","0","9","6.530000","7","0","6","3.910000","5","0","8","4.200000","2","1659",
"308","6","9","8.060003","8","0","11","6.570000","0","0","6","3.960000","6","0","8","4.180000","8","1659",
"309","5","9","8.040000","9","0","9","5.949999","4","0","6","4.149999","5","0","8","3.830000","4","1660",
"310","4","9","8.100004","8","0","9","5.940000","8","0","6","4.340000","5","0","9","4.260001","3","1661",
"311","5","9","8.090003","9","0","9","6.690000","0","0","6","3.810000","0","0","10","4.160000","6","1662",
"312","4","9","8.070001","8","0","9","6.170001","9","0","6","4.420000","6","0","9","4.280001","2","1663",
"313","5","9","8.160001","8","0","9","6.310000","7","0","6","4.160002","5","0","8","4.260001","5","1664",
"314","3","9","8.020002","8","0","10","6.659999","9","0","6","4.120002","5","0","10","4.499999","5","1665",
"315","6","9","8.210005","8","0","9","6.829999","9","0","6","4.129997","4","0","9","4.519999","4","1666",
"316","5","9","8.099999","6","0","9","5.919999","0","0","6","4.200001","6","0","9","3.959999","6","1667",
"317","2","9","7.949999","8","0","9","5.710001","2","0","6","4.230000","6","0","10","4.050000","6","1668",
"318","7","9","8.100002","8","0","9","6.380000","7","0","6","3.780000","5","0","9","4.159999","6","1669",
"319","6","9","8.210001","8","0","9","6.039999","9","0","6","4.440000","3","0","8","4.029999","6","1670",
"320","5","9","8.149998","8","0","11","6.509999","9","0","6","4.270002","0","0","10","4.250000","4","1671",
"321","1","9","8.040002","9","0","9","7.040000","9","0","6","4.110001","6","0","8","3.990000","7","1671",
"322","4","9","8.220004","8","0","9","6.480000","0","0","6","4.050000","6","0","10","4.329998","4","1672",
"323","3","9","8.230001","8","0","9","6.260000","7","0","6","4.230000","6","0","10","4.110000","6","1673",
"324","6","9","8.220001","8","0","11","6.530001","10","0","6","3.900000","2","0","10","4.249998","7","1674",
"325","5","9","8.270001","8","0","9","6.509999","9","0","6","4.100002","6","0","10","4.220001","4","1675",
"326","5","9","8.320003","8","0","9","6.769999","7","0","6","4.079999","5","0","9","4.289999","6","1676",
"327","3","9","8.170002","9","0","11","6.350001","9","0","6","4.030001","0","0","9","3.940000","2","1677",
"328","5","9","8.190002","9","0","11","6.590000","7","0","6","4.200001","5","0","9","4.050003","5","1678",
"329","6","9","8.169998","8","0","9","6.160000","7","0","6","4.240000","5","0","8","4.430000","2","1679",
"330","2","9","8.190001","8","0","11","6.620001","9","0","6","4.090001","5","0","10","4.119999","4","1679",
"331","5","9","8.139999","8","0","11","6.330000","7","0","6","4.059998","2","0","7","3.590000","1","1680",
"332","5","9","8.280000","8","0","9","6.339998","8","0","6","4.049999","6","0","8","4.349998","4","1681",
"333","3","9","8.130002","8","0","9","6.200001","5","0","6","4.040000","2","0","9","4.510001","0","1682",
"334","5","9","8.210001","8","0","11","6.710000","7","0","6","4.389998","6","0","10","4.199999","0","1683",
"335","4","9","8.200001","8","0","11","6.840002","5","0","6","4.080001","5","0","8","3.770000","6","1684",
"336","2","9","8.150000","8","0","9","6.590001","7","0","6","4.370000","5","0","9","4.230000","5","1685",
"337","5","9","8.179997","9","0","11","6.230000","9","0","6","4.220000","4","0","9","3.980000","5","1685",
"338","5","9","8.230004","9","0","9","6.730000","0","0","6","4.010000","3","0","9","4.520001","4","1686",
"339","6","9","8.280005","8","0","11","6.390000","7","0","6","4.180001","6","0","9","3.890000","0","1687",
"340","3","9","8.210000","8","0","11","6.240001","8","0","6","4.500000","5","0","9","3.780001","5","1688",
"341","4","9","8.270001","9","0","11","6.539999","9","0","6","4.040000","3","0","9","4.069999","5","1689",
"342","5","9","8.290002","9","0","11","6.620001","5","0","6","4.590000","6","0","8","4.379998","6","1690",
