"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"90","12","80","40.199997","36","2","2","2.000000","2","6","7","6.599999","6","3","3","3.000000","3","1","2","1.900000","2","0","2","1.800000","2","2","7","5.599999","7","1797","1797","1797",
"91","3","85","53.899998","3","2","2","2.000000","2","6","7","6.400000","6","2","3","2.900000","3","1","3","2.800000","3","3","3","3.000000","3","4","8","6.200000","6","1818","1817","1817",
"92","10","91","51.999996","68","2","2","2.000000","2","6","7","6.799999","7","3","3","3.000000","3","2","2","2.000000","2","2","2","2.000000","2","4","7","5.600000","5","1838","1838","1837",
"93","14","88","66.199997","67","2","2","2.000000","2","6","7","6.800000","7","2","3","2.900000","3","3","3","3.000000","3","3","3","3.000000","3","2","7","4.900000","2","1858","1858","1857",
"94","13","87","48.099998","55","1","2","1.900000","2","6","7","6.500000","7","1","3","2.600000","1","2","2","2.000000","2","2","2","2.000000","2","3","8","6.300000","5","1878","1878","1878",
"95","7","91","59.700005","88","1","2","1.900000","2","6","7","6.599999","7","1","3","2.600000","3","3","3","3.000000","3","3","3","3.000000","3","5","8","6.400001","8","1898","1898","1898",
"96","4","82","42.000004","24","1","2","1.900000","2","6","7","6.699999","7","3","3","3.000000","3","1","2","1.900000","2","2","2","2.000000","2","4","8","6.200000","5","1919","1919","1918",
"97","21","90","57.099998","23","1","2","1.900000","2","6","7","6.699999","7","1","3","2.600000","3","3","4","3.100000","3","1","4","2.900000","3","1","8","5.900000","5","1939","1939","1939",
"98","2","91","42.099998","24","1","2","1.900000","2","6","7","6.899999","7","1","3","2.600000","3","2","2","2.000000","2","2","2","2.000000","2","1","8","5.600000","1","1959","1959","1959",
"99","6","76","40.399998","38","1","2","1.900000","2","6","7","6.699999","6","1","3","2.800000","3","2","3","2.900000","3","1","3","2.700000","3","1","8","6.300000","7","1979","1979","1979",
"100","20","94","50.199997","21","2","2","2.000000","2","6","7","6.799999","7","1","3","2.800000","3","2","2","2.000000","2","2","2","2.000000","2","5","8","6.800000","8","2000","1999","2000",
